Bulb,Machine,Station,Watts
1,A,1,6.5
1,A,2,6.5
1,A,3,6.6
1,A,4,6.6
2,A,1,5.8
2,A,2,6.7
2,A,3,6.2
2,A,4,6.3
3,A,1,6.2
3,A,2,6.5
3,A,3,5.8
3,A,4,6.1
4,A,1,6.3
4,A,2,6.5
4,A,3,6.3
4,A,4,6.6
5,B,1,6
5,B,2,6.1
5,B,3,6
5,B,4,6.1
6,B,1,5.4
6,B,2,6.4
6,B,3,6.8
6,B,4,6.7
7,B,1,6.1
7,B,2,6.4
7,B,3,6.3
7,B,4,6.3
8,B,1,5.9
8,B,2,6.1
8,B,3,6
8,B,4,6
9,C,1,6
9,C,2,6
9,C,3,5.9
9,C,4,6.3
10,C,1,5.8
10,C,2,6
10,C,3,6.3
10,C,4,6
11,C,1,5.7
11,C,2,6.2
11,C,3,5.3
11,C,4,5.8
12,C,1,6.2
12,C,2,6.4
12,C,3,6.4
12,C,4,6.6
13,D,1,6.1
13,D,2,6
13,D,3,6
13,D,4,6.1
14,D,1,6
14,D,2,5.9
14,D,3,6.2
14,D,4,6
15,D,1,5.7
15,D,2,5.8
15,D,3,5.7
15,D,4,5.7
16,D,1,5.6
16,D,2,6.4
16,D,3,6.1
16,D,4,6.2
17,E,1,5.9
17,E,2,6
17,E,3,6
17,E,4,6.5
18,E,1,6.1
18,E,2,6.3
18,E,3,6
18,E,4,6
19,E,1,6
19,E,2,6.2
19,E,3,6
19,E,4,6.1
20,E,1,6.3
20,E,2,6.5
20,E,3,6.4
20,E,4,6.4
21,F,1,6.1
21,F,2,6
21,F,3,6
21,F,4,6.2
22,F,1,6.5
22,F,2,6.1
22,F,3,6.5
22,F,4,6.7
23,F,1,6.2
23,F,2,7
23,F,3,6.4
23,F,4,6.7
24,F,1,5.8
24,F,2,6.1
24,F,3,6.2
24,F,4,6.2
25,G,1,5.5
25,G,2,5.5
25,G,3,5.3
25,G,4,5.6
26,G,1,6
26,G,2,5.6
26,G,3,5.7
26,G,4,6.2
27,G,1,6
27,G,2,6.4
27,G,3,6.2
27,G,4,6.2
28,G,1,5.8
28,G,2,6.5
28,G,3,6.2
28,G,4,6.2
29,H,1,5.5
29,H,2,5.6
29,H,3,5.4
29,H,4,5.8
30,H,1,5.8
30,H,2,6.2
30,H,3,6
30,H,4,6.2
31,H,1,6.2
31,H,2,5.4
31,H,3,6.1
31,H,4,6.3
32,H,1,6.1
32,H,2,6.2
32,H,3,6
32,H,4,6.1
33,J,1,6.2
33,J,2,6.1
33,J,3,5.8
33,J,4,6
34,J,1,6.2
34,J,2,5.3
34,J,3,7.8
34,J,4,6.3
35,J,1,6.4
35,J,2,6.7
35,J,3,6.5
35,J,4,6.5
36,J,1,6.2
36,J,2,6.5
36,J,3,6.1
36,J,4,6.1
37,K,1,5.9
37,K,2,6
37,K,3,5.8
37,K,4,6.1
38,K,1,5.8
38,K,2,5.7
38,K,3,6.7
38,K,4,6
39,K,1,6.2
39,K,2,6.2
39,K,3,6.2
39,K,4,6.3
40,K,1,6.2
40,K,2,6.3
40,K,3,5.9
40,K,4,6.3
